"muestra","Dim1_2D","Dim2_2D","Cluster_2D","Dim1_3D","Dim2_3D","Dim3_3D","Cluster_3D","Status"
1,-3.74759610281312,-1.41911687491553,"2",-3.74759610281312,-1.41911687491553,-0.37122623658392,"2","D"
2,1.65300147504354,0.539164670262363,"1",1.65300147504354,0.539164670262363,-2.16276857544089,"1","C"
3,-1.04518722329537,-2.98075482002894,"2",-1.04518722329537,-2.98075482002894,-0.480551665892265,"2","D"
4,-0.567648939224936,-1.3798221780167,"2",-0.567648939224936,-1.3798221780167,-1.44575700351878,"2","D"
5,-0.101804210038803,-0.838599840758309,"2",-0.101804210038803,-0.838599840758309,1.23321997979143,"2","C"
6,1.32934540203581,-1.30736536080086,"1",1.32934540203581,-1.30736536080086,-0.482958377378341,"1","D"
7,1.05141368935867,-0.124795087748333,"1",1.05141368935867,-0.124795087748333,-0.0835905069042239,"1","C"
8,1.32908807611737,0.611976531227208,"1",1.32908807611737,0.611976531227208,-2.18226541424173,"1","D"
9,0.0260350582395499,0.658957327585568,"1",0.0260350582395499,0.658957327585568,0.54414670499217,"1","D"
10,-3.08500142325586,-1.59129152383413,"2",-3.08500142325586,-1.59129152383413,-0.464545270752748,"2","D"
11,1.34842440412603,-1.01915639122025,"1",1.34842440412603,-1.01915639122025,-0.805800560836452,"1","D"
12,-1.54570038048963,-3.14558301021245,"2",-1.54570038048963,-3.14558301021245,-0.108574174884906,"2","D"
13,1.62537191311435,-0.0244086200082064,"1",1.62537191311435,-0.0244086200082064,-0.138093820667315,"1","C"
14,-0.997544700632028,-2.45978947555772,"2",-0.997544700632028,-2.45978947555772,0.155394147339153,"2","D"
15,0.457025868939098,0.472183252366906,"1",0.457025868939098,0.472183252366906,-3.22469687291987,"1","D"
16,1.9358274461065,-0.827556972244329,"1",1.9358274461065,-0.827556972244329,0.370118929256089,"1","C"
17,-1.1803808460476,-1.0491703340601,"2",-1.1803808460476,-1.0491703340601,0.22324258367526,"2","D"
18,-5.87468752238548,-0.11868441873951,"3",-5.87468752238548,-0.11868441873951,-0.21436144514984,"3","D"
19,1.42684327949551,-0.477846282758511,"1",1.42684327949551,-0.477846282758511,-0.675416121810717,"1","C"
20,-1.57780297975068,-0.830599092632718,"2",-1.57780297975068,-0.830599092632718,-1.12108330992654,"2","D"
